LOC_ID,gene_ID,unitpro,up_evalue,cel,cel_evalue,dmel,dmel_evalue,spur_acc,spur_evalue
LOC105327190,thyroid transcription factor 1-associated protein 26,Q9P031.2,1.12e-17,F10E9.11.1,0.055,CG15535-PB,0.000253,XP_784791.2,5.9e-06
LOC105327199,QRFP-like peptide receptor,C3ZQF9.1,1.29e-45,Y59H11AL.1b.1,9.07e-35,TkR86C-PA,3.09e-32,XP_003723464.2,1.02e-49
LOC105327200,QRFP-like peptide receptor,Q924H0.2,2.2e-42,Y59H11AL.1b.1,2.21e-39,TkR86C-PA,1.48e-40,XP_003723464.2,4.07e-51
LOC105327213,uncharacterized LOC105327213,O76217.2,0.002,H02I12.1.1,0.049,teq-PD,5.97e-09,XP_003725114.3,1.08e-06
LOC105327216,complement C1q subcomponent subunit B-like,P98086.2,3.77e-10,T27B7.3.1,9.7,CG5114-PB,4.6,XP_003723337.1,4.41e-06
LOC105327225,regulator of G-protein signaling 22,Q8NE09.3,2.76e-12,Y54G11A.2.1,0.99,,,XP_030854657.1,1.03e-97
LOC105327224,perlucin-like protein,P13608.3,8.18e-19,ZK863.9.1,6.36e-10,tfc-PC,3.05e-10,XP_030852345.1,8.31e-16
LOC105327228,uncharacterized LOC105327228,A0A5K7RLP0.1,5.34e-09,K08A8.2a.3,9.76e-10,Sox15-PA,3.93e-08,NP_999638.1,8.07e-09
LOC105327202,TNF receptor-associated factor 3,Q60803.2,2.9e-152,F45G2.6.1,2.19e-23,Traf4-PE,2.6e-37,XP_030854618.1,1.69e-108
LOC105327237,uncharacterized LOC105327237,B3EWZ3.1,4.94e-41,C02B4.1.1,2.42e-27,Sema5c-PB,5.1e-17,XP_030853395.1,8.21e-39
LOC105327239,homeobox protein goosecoid,P54366.2,6.33e-35,ZK993.1b.1,1.09e-25,Gsc-PC,3.26e-26,NP_999663.1,5.06e-49
LOC105327241,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",Q02337.2,1.29e-61,C10F3.2.1,3.67e-42,CG8888-PA,6.38e-33,XP_795654.3,1.18e-73
LOC105327243,zinc finger C2HC domain-containing protein 1C,Q6AYP4.1,1.37e-35,T03G11.3.1,1.26e-16,CG42675-PD,1.94e-29,XP_781236.2,1.43e-36
LOC105327244,uncharacterized LOC105327244,Q9UHC1.3,9.83e-89,H12C20.2a.1,2.34e-22,Mlh1-PA,1.13e-24,XP_030854543.1,2.39e-89
LOC105327246,muscarinic acetylcholine receptor M1,P49578.1,5.01e-115,Y40H4A.1a.2,1.49e-81,mAChR-A-PB,6.93e-82,XP_030855368.1,1.25e-102
LOC105327248,complement C1q-like protein 4,Q4ZJM9.1,8.41e-12,Y106G6D.5b.1,0.12,kl-3-PC,2.8,XP_003723337.1,2.42e-12
LOC105327251,uncharacterized LOC105327251,Q9LQV2.1,4.09e-139,F10B5.7.1,7.33e-107,trn-PA,7.2,XP_030839262.1,1.7
LOC105327252,translocon-associated protein subunit beta,Q5E9E4.1,7.03e-81,T04G9.5.1,9.17e-37,SsRbeta-PA,8.51e-60,XP_030832785.1,3.8e-68
LOC105327257,uncharacterized LOC105327257,A1R4P6.1,1.7,ZC204.15.1,2.1,,,XP_011682201.2,4
LOC105327258,DCC-interacting protein 13-alpha,Q9UKG1.1,1.34e-173,T04C9.1a.1,7.09e-18,CenB1A-PA,1.3e-12,XP_784602.3,1.2e-161
LOC105327265,multiple epidermal growth factor-like domains protein 10,Q02858.2,0.000117,Y64G10A.7b.1,0.003,drpr-PA,0.003,XP_030852020.1,7.78e-06
LOC105327266,carbohydrate sulfotransferase 1,O43916.1,1.25e-20,C05D11.11b.3,0.97,CG31637-PB,4.05e-17,XP_011670481.1,1.13e-19
LOC105327271,uncharacterized LOC105327271,Q2KIW9.2,0.000392,F38E11.6a.1,8.52e-20,Hyls1-PA,1.1,XP_030849905.1,4.15e-39
LOC105327272,uncharacterized LOC105327272,Q5REG4.1,3.07e-63,B0035.3.1,8.48e-09,dx-PA,1.95e-35,XP_030830901.1,4.72e-41
LOC105327274,uncharacterized LOC105327274,A3EXD0.1,0.49,,,Fbxl7-PA,0.35,XP_030847749.1,8.8
LOC105327275,uncharacterized LOC105327275,Q96RW7.2,0.13,W01F3.1b.1,1.7,CG32373-PC,0.38,XP_030835427.1,0.3
LOC105327273,uncharacterized LOC105327273,O83346.2,2.6,Y20F4.8.1,4.69e-07,,,XP_030856089.1,2.57e-113
LOC105327283,"protein bunched, class 2/F/G isoform",P62501.1,1.24e-29,T18D3.7c.2,1.09e-15,bun-PH,6.07e-21,XP_011678632.1,5.68e-18
LOC105327286,transmembrane protein 254,Q5U220.1,4.15e-13,F27D9.6.1,5.16e-09,CG9899-PA,0.78,XP_030838493.1,4.61e-16
LOC105327290,uncharacterized transmembrane protein DDB_G0289901,A2AX52.2,1.31e-12,Y113G7B.12.1,2.36e-11,,,XP_030851838.1,1.6e-17
LOC105327291,large neutral amino acids transporter small subunit 2,Q9QXW9.1,5.16e-174,F27C8.1.2,1.41e-175,CG1607-PD,0,XP_011680928.2,9.86e-165
LOC105327293,"endo-1,4-beta-xylanase 2-like",O80596.1,3.12e-60,ZK1005.1b.1,3,CG30291-PA,3,XP_799203.3,1.4
LOC105327294,uncharacterized LOC105327294,E1BD59.1,3.4e-16,W04H10.3a.1,4.23e-08,mei-P26-PD,3.78e-15,XP_030840306.1,1.11e-25
LOC105327295,proline-serine-threonine phosphatase-interacting protein 1,O43586.1,3.19e-42,F56D12.6a.1,9.71e-14,Synd-PD,0.011,XP_030829109.1,7.49e-55
LOC105327296,allene oxide synthase-lipoxygenase protein,O16025.1,1.52e-108,C13C4.7.2,0.000302,CG30048-PD,9.88e-05,XP_030849258.1,0
LOC105327299,multiple epidermal growth factor-like domains protein 11,Q80T91.3,2.12e-33,Y64G10A.7b.1,6.64e-32,drpr-PE,1.79e-29,XP_003728180.2,3.02e-43
LOC105327306,omega-amidase NIT2,Q6INI7.1,6.49e-153,Y56A3A.13.1,1.39e-51,CG8132-PA,6.91e-111,XP_030846132.1,3.18e-134
LOC105327307,alpha-adducin,Q02645.2,1.49e-176,F39C12.2d.1,9.97e-150,hts-PD,1.32e-178,XP_030841712.1,0
LOC105327308,"glycerol-3-phosphate acyltransferase 1, mitochondrial",P97564.3,1.9e-148,F08F3.2a.1,1.79e-81,mino-PB,1.28e-125,XP_030842070.1,0
LOC105327309,uncharacterized LOC105327309,Q62769.2,7.1e-06,ZK524.2d.1,0.67,unc-13-PF,0.000322,XP_030841650.1,2.95e-55
LOC105327310,uncharacterized LOC105327310,O05706.1,1.7,C25D7.3.1,1.9,CG14204-PB,3.8,XP_030832521.1,2.51e-06
LOC105327311,condensin complex subunit 3,Q9YHB5.1,0,C09D1.1i.1,8.75e-05,Cap-G-PG,1.1e-42,XP_030848405.1,0
LOC105327312,calponin homology domain-containing protein DDB_G0272472,P77338.1,0.001,F28H1.3.4,0.099,,,XP_003729054.2,1.26e-49
LOC105327313,protoporphyrinogen oxidase,P56602.2,6.53e-85,F25C8.2a.1,0.006,Ppox-PA,7.72e-56,XP_030833566.1,1.09e-64
LOC105327316,"beta-1,3-galactosyltransferase 1",O54904.2,1.31e-41,B0024.15.2,1.84e-24,CG8673-PA,4.59e-40,XP_030828170.1,3.18e-42
LOC105327321,CD151 antigen,P48509.3,5.19e-07,C14A11.1.1,2.61e-07,Tsp29Fa-PC,0.34,XP_030829377.1,4.15e-10
LOC105327322,dual specificity tyrosine-phosphorylation-regulated kinase 1A,Q63470.2,0,T04C10.1.1,2.5e-177,mnb-PH,0,XP_030834323.1,0
LOC105327328,innexin unc-9,O01393.1,5.58e-87,C18H7.2b.2,1.23e-88,ogre-PF,4.55e-13,XP_030841231.1,9.3
LOC105327329,innexin unc-9,O01393.1,1.51e-95,C16E9.4b.2,3.03e-97,Inx2-PD,3.79e-31,XP_030845951.1,3.7
LOC105327330,innexin unc-9,O01393.1,4.31e-97,R12H7.1a.1,3.8e-98,ogre-PF,1.17e-17,XP_030830617.1,5.6
LOC105327331,innexin unc-9,Q03412.1,1.9e-70,C16E9.4b.2,8.76e-75,zpg-PB,1.16e-10,XP_030832167.1,2.4
LOC105327332,protein phosphatase 2C-like domain-containing protein 1,A8MPX8.2,6.84e-69,T19C3.8.2,1.73e-12,CG10417-PB,5.67e-12,XP_030829692.1,1.49e-131
LOC105327335,EF-hand domain-containing family member B,Q8CDU5.2,0,ZK673.7.1,0.000314,CG33489-PB,0.002,XP_783931.2,0
LOC105327336,ras-related protein Rab-5C,P51147.1,3.95e-127,F26H9.6.1,2.98e-119,Rab5-PI,1.76e-109,XP_783878.1,8.53e-136
LOC105327339,"microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",Q91ZU6.2,0,ZK1151.1m.1,1.47e-109,shot-PL,0,XP_011675159.1,0
LOC105327340,fibrocystin-L,Q80ZA4.1,0,Y55F3AL.1e.1,6.25e-11,neur-PB,2.8,XP_030842165.1,0
LOC105327341,uncharacterized LOC105327341,G5EDE9.1,3.12e-24,C33A11.1.2,2.75e-25,cact-PC,9.69e-10,NP_999819.1,1.7e-20
LOC105327356,"UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase-like",Q9M146.1,4.84e-10,F41C3.11.1,2.33e-15,Dhc16F-PA,5.1,XP_030829428.1,1.41e-09
LOC105327358,cubilin,O60494.5,0,ZC116.3.1,0,Cubn-PB,0,XP_030827983.1,0
LOC105327359,uncharacterized LOC105327359,A2ARZ3.3,1.25e-21,C04A11.3.1,1.1,CG3345-PA,5.31e-14,XP_011680376.2,2.63e-26
LOC105327360,uncharacterized LOC105327360,P34735.1,3.35e-05,Y50D4C.4a.2,0.047,oxt-PB,0.002,XP_030832229.1,0.000205
LOC105327361,protein arginine N-methyltransferase 1,Q28F07.1,0,Y113G7B.17.2,9.19e-165,Art1-PA,3.61e-180,XP_030845562.1,1.28e-179
LOC105327363,uncharacterized LOC105327363,Q01664.2,0.038,C10G11.6a.1,6.4,crp-PB,0.02,XP_783888.3,0.019
LOC105327345,nuclear receptor corepressor 1,O75376.2,1.08e-102,C14B9.6a.3,1.57e-16,Smr-PF,3.09e-78,XP_030846947.1,0
LOC105327375,transcription intermediary factor 1-beta,E7FAM5.1,2.64e-06,F26F4.7.1,3.38e-05,bon-PF,5.87e-06,XP_030852829.1,1.74e-11
LOC105327376,Tripartite motif-containing protein 2,A4IF63.1,2.04e-13,ZK112.2g.1,9.03e-07,tn-PD,5.94e-05,XP_787393.2,2.28e-11
LOC105327378,uncharacterized LOC105327378,Q9Z0R0.3,7.88e-99,C01H6.9.1,1.43e-67,Haspin-PA,7.96e-80,XP_030841661.1,3.72e-133
LOC105327383,serine/threonine-protein kinase 26,O61122.1,1.6e-125,T19A5.2e.1,1.62e-123,GckIII-PA,1.53e-123,XP_030838343.1,3.75e-121
LOC105327382,hypothetical protein,Q7Z9I2.1,9.17e-28,C55A6.7.1,2.67e-23,sni-PB,2.14e-35,XP_030841703.1,1.43e-114
LOC105327386,C1q-related factor,P25067.2,1.74e-08,F02A9.6.1,5.6,CG13671-PA,2.4,XP_780567.2,3.34e-06
LOC105327387,calcitonin gene-related peptide type 1 receptor,P30988.3,1.72e-34,ZK643.3b.1,2.01e-18,hec-PB,2.43e-19,XP_030846273.1,3.11e-23
LOC105327388,low affinity immunoglobulin epsilon Fc receptor-like,Q6ZS10.2,2.8e-18,ZK1193.2a.1,1.4e-06,lectin-33A-PB,1.99e-08,XP_030827938.1,1.08e-14
LOC105327390,pancreas/duodenum homeobox protein 1-like,P52947.1,5.49e-49,C07H6.7.2,7.61e-22,Antp-PO,2.86e-27,NP_999815.2,3.97e-59
LOC105327393,GS homeobox 1,Q9H4S2.1,1.99e-32,C07H6.7.2,2.23e-19,ind-PB,8.34e-27,XP_784486.3,6.25e-35
LOC105327394,probable glutamate receptor,Q38PU2.1,1.67e-104,C06A8.9b.1,1.77e-69,KaiR1D-PA,2.56e-82,XP_030848167.1,9.99e-86
LOC105327391,26S proteasome non-ATPase regulatory subunit 4,Q58DA0.1,5.66e-152,B0205.3.2,1.46e-84,Rpn10-PB,1.15e-124,XP_030842176.1,1.35e-156
LOC105327395,glutamate receptor 4,P48058.2,2.34e-124,K10D3.1.1,3.22e-105,KaiR1D-PA,1.12e-112,XP_030850955.1,4.52e-108
LOC105327396,3'-5' exoribonuclease 1,Q5FVR4.1,2.4e-96,T07A9.5a.1,1.64e-57,Snp-PG,4.15e-32,XP_030841296.1,3.48e-85
LOC105327401,collagen alpha-1(XII) chain,Q99715.2,2.12e-29,K08E5.3a.1,2.8e-21,,,XP_030851866.1,4.02e-17
LOC105327402,uncharacterized LOC105327402,H2A0N2.1,0.004,T01D3.6a.1,2.5,Timp-PB,0.97,XP_793071.1,1.9
LOC105327403,RAB6-interacting golgin,Q5T7V8.2,1.17e-37,C18H9.8a.1,0.24,Gorab-PA,7.46e-21,XP_003723288.2,1e-36
LOC105327405,"39S ribosomal protein L30, mitochondrial",P0C2C1.1,9.74e-15,W04B5.4.2,5.2e-06,mRpL30-PA,5.09e-17,XP_799086.3,1.75e-12
LOC105327408,kunitz-type serine protease inhibitor textilinin-3,P10280.2,7.32e-18,R12A1.3a.1,1.24e-12,CG3604-PB,6.31e-11,XP_030854406.1,2.37e-10
LOC105327420,laccase-6,Q55P57.1,3.96e-44,F21D5.3a.2,6.09e-71,Mco1-PC,1.34e-59,XP_030837477.1,2.52e-65
LOC105327425,protein monoglycylase TTLL8,Q9Y4R7.2,1.13e-126,F25C8.5.1,2.06e-24,TTLL3A-PA,7.57e-104,XP_030855843.1,9.55e-178
LOC105327427,uncharacterized LOC105327427,O60158.2,3.9,F56C4.2.1,0.35,,,XP_030846934.1,0.064
LOC105327428,caspase recruitment domain-containing protein 8-like,Q98943.2,9.19e-08,C48D1.2a.1,2.03e-06,Dronc-PA,0.014,XP_030841957.1,9.9e-11
LOC105327433,universal stress protein Sll1388,O07552.2,2.23e-10,F52B10.1.1,1.2,dpy-PM,7,XP_797010.4,1.1
LOC105327434,neurocalcin homolog,P42325.2,1.37e-72,C44C1.3.1,6.28e-54,Nca-PA,1.52e-73,XP_030838730.1,6.14e-73
LOC105327435,universal stress protein Slr1101,P74148.1,1.19e-08,R05D11.1.1,0.32,CG42541-PF,3.1,XP_030844609.1,0.34
LOC105327436,universal stress protein PHOS34,P87132.2,1.12e-08,C26E6.4.1,3.2,CG43737-PC,4.4,XP_030844609.1,2
LOC105327437,centrosomal protein of 83 kDa,Q9D5R3.2,1.82e-120,T22A3.8.1,2.52e-05,mud-PF,5,XP_030839318.1,6.59e-155
LOC109617035,caspase-7,P97864.2,4.49e-07,F11A3.1.2,4.2,Drice-PA,5.35e-05,XP_030851381.1,4.95e-06
LOC105327439,leucine-rich repeat-containing protein 61,Q8R2R5.1,1.85e-54,K10D2.8.1,2.55e-09,Mapmodulin-PD,0.000234,XP_030833148.1,7.33e-54
LOC105327440,vezatin,Q5RFL7.1,2.37e-41,Y73F8A.35b.1,0.42,PH4alphaMP-PA,1.1,XP_030839193.1,1.86e-22
LOC105327445,sperm-specific protein PHI-2B/PHI-3,Q3HNG7.1,5.91e-12,C18G1.5.1,9.4e-09,,,XP_030839851.1,5.41e-08
LOC105327447,uncharacterized LOC105327447,Q8DM42.1,0.04,C48D1.2a.1,0.45,CG41378-PE,1.6,XP_785111.1,8.28e-06
LOC105327448,uncharacterized LOC105327448,Q8C3Q9.1,0.53,C48D1.2a.1,0.089,CG41378-PE,3.4,XP_785111.1,1.18e-05
LOC105327449,coiled-coil domain-containing protein 137,Q8R0K4.1,1.51e-18,F17E5.2.1,0.018,CG8326-PA,6.53e-12,XP_030840127.1,1.28e-10
LOC105327450,uncharacterized LOC105327450,Q5E9A5.1,3.76e-10,F20D1.7.1,6.8,Gadd45-PA,3.75e-16,XP_003728347.2,8.79e-10
LOC105327452,leucine-rich repeat-containing protein 74A,A0JPI9.1,1.1e-62,F28C1.3c.1,3.79e-09,CG8197-PB,0.000528,XP_011674867.2,2.46e-85
LOC105327454,uncharacterized LOC105327454,P48316.1,2.22e-11,Y65B4BR.3.1,4.1,Gadd45-PA,5.61e-08,XP_003728347.2,2.52e-09
LOC105327453,uncharacterized LOC105327453,Q6PDZ2.1,1.95e-17,Y48E1B.3d.1,0.000386,jub-PC,4.1,XP_030832488.1,9.07e-15
LOC105327457,uncharacterized LOC105327457,Q1L8P7.1,2.98e-15,F21D9.4b.1,4.7,CG9297-PE,0.033,XP_030854098.1,9.02e-123
LOC105327459,cytochrome c oxidase assembly factor 5-like,Q3ZCK8.1,4.68e-10,Y18D10A.16.2,4.86e-06,CG13018-PA,4.05e-10,XP_799202.3,0.53
LOC105327464,radial spoke head protein 6 homolog A,Q8BYM7.2,2.55e-122,Y71G12B.11a.1,0.36,Rsph4a-PA,1.63e-31,NP_999761.1,6.31e-124
LOC105327465,hamartin,Q9Z136.1,1.98e-75,Y43F4B.6.1,0.069,Tsc1-PA,4.14e-49,XP_011663188.2,7.6e-72
LOC105327463,ileal sodium/bile acid cotransporter,Q28727.1,2.03e-71,Y71G10AR.4.1,1.98e-28,CG11655-PA,3.3e-20,XP_011669173.2,3.96e-73
LOC105327466,uncharacterized LOC105327466,Q5TM62.1,2.35e-19,T13H5.5.1,9.51e-19,mRpS18B-PB,2.47e-30,XP_030853675.1,3.75e-19
LOC105327467,serine/threonine-protein phosphatase 1 regulatory subunit 10,Q6GLQ4.1,9.67e-42,F11A10.8.2,0.15,PNUTS-PA,7.68e-23,XP_030853294.1,2.62e-58
LOC105327470,surfeit locus protein 2,Q15527.3,2.56e-40,C01B12.3.1,6.7,mRpL18-PA,1.2,XP_030847407.1,9.24e-49
LOC105327471,uncharacterized LOC105327471,Q5XWD5.1,0.000745,Y48B6A.3.1,4.7,CG33523-PA,9,XP_030853912.1,0.98
LOC105327472,putative carbonic anhydrase-like protein 2,Q18932.3,1.64e-59,D1022.8.1,1.44e-60,CARPB-PD,2.26e-66,XP_030837007.1,1.85e-49
LOC105327474,glycine receptor subunit alpha-1,P57695.1,1.6e-116,B0207.12a.2,7.32e-90,GluClalpha-PL,8.18e-92,XP_011665722.1,1.27e-78
LOC105327475,glycine receptor subunit alpha-2,P23416.1,5.76e-112,B0207.12a.2,3.02e-87,GluClalpha-PL,1.35e-80,XP_030836772.1,6.52e-71
LOC105327473,ileal sodium/bile acid cotransporter,Q62633.1,1.71e-54,Y71G10AR.4.1,1.47e-18,CG11655-PA,5.6e-11,XP_783691.3,1.85e-64
LOC105327482,C-type lectin domain family 4 member E,P86854.1,9.08e-15,Y38H6C.8.1,8.7e-06,CG9095-PA,1.32e-07,XP_030855792.1,1.67e-09
LOC105327487,perlucin-like protein,P86854.1,3.46e-19,T19E7.1.1,1.96e-11,CG11211-PA,3.63e-08,XP_030841947.1,3.46e-14
LOC105327489,ras-related protein Rab-1A,Q05974.1,4.27e-140,C39F7.4.1,8.39e-125,Rab1-PA,2.06e-128,XP_003726477.1,4.44e-132
LOC105327491,uncharacterized LOC105327491,C5CB93.1,1.5,Y53G8AR.6.1,0.09,Grip75-PA,2.1,XP_030845941.1,0.089
LOC105327492,poly [ADP-ribose] polymerase 1,Q9R152.3,0,Y71F9AL.18a.1,2.84e-129,Parp-PB,0,XP_030854208.1,0
LOC105327496,homeobox protein SIX6,O95475.2,1.86e-126,W05E10.3.1,1.44e-76,Optix-PA,1.12e-103,XP_781696.1,7.6e-120
LOC105327497,uncharacterized LOC105327497,Q9ESN6.1,1.03e-10,C12C8.3b.2,1.48e-05,wech-PE,4.5e-05,XP_030842328.1,6.47e-07
LOC105327495,arrestin domain-containing protein 17,O45782.2,6.3e-22,T12D8.4.1,5.55e-23,CG1105-PA,4.67e-26,XP_030833213.1,4.36e-24
LOC105327498,uncharacterized LOC105327498,Q9ESN6.1,2.35e-08,C12C8.3b.2,5.86e-06,wech-PE,9.08e-05,XP_030842328.1,1.69e-06
LOC105327499,uncharacterized LOC105327499,P86982.1,3.81e-42,K02C4.3b.1,5.2,,,XP_011664313.2,0.25
LOC105327500,uncharacterized LOC105327500,P86982.1,2.42e-39,F31B12.3f.1,1.5,DhpD-PA,0.57,XP_030840786.1,3
LOC105327503,activating signal cointegrator 1 complex subunit 1,Q9D8Z1.1,7.53e-127,C23H3.3b.1,4.85e-26,CG12129-PA,5.45e-52,XP_030837722.1,3.49e-107
LOC105327504,sex peptide receptor,Q8SWR3.1,1.19e-43,R03A10.6.2,7.71e-24,SPR-PB,1.49e-44,XP_030829909.1,2e-11
LOC105327514,synergin gamma,Q9UMZ2.2,5.56e-52,R10E11.6b.1,3.41e-10,Eps-15-PD,2.3,XP_003730849.1,3.84e-57
LOC105327518,serine/arginine repetitive matrix protein 2-like,Q8JZP9.1,1.65e-33,ZK1151.1n.1,6.44e-15,pigs-PC,4.26e-30,XP_030828172.1,4.25e-27
LOC105327520,glycosyltransferase 1 domain-containing protein 1,Q5RAF1.1,3.49e-73,F09E5.2.1,0.000225,,,XP_030852346.1,0.18
LOC105327521,noelin-2,P63056.1,8.58e-46,C48E7.5.1,2.96e-16,CG6867-PA,3.67e-20,NP_001073011.1,1.43e-25
LOC105327522,universal stress protein in QAH/OAS sulfhydrylase 3'region,P74148.1,5.23e-11,C04F5.6.1,0.76,ptc-PA,2.5,XP_011682595.2,0.59
LOC105327526,serine protease inhibitor Cvsi-1-like,B9A8D7.1,5.13e-07,F29D11.1.1,0.036,Diedel2-PA,0.069,XP_011679065.2,0.31
LOC105327527,serine protease inhibitor Cvsi-2,B9A8D7.1,5.43e-08,ZK783.1j.1,0.66,trol-PAI,5.4,XP_030853969.1,0.001
LOC105327528,nacrein-like protein,P86856.1,7.31e-50,F54D8.4a.1,1.02e-13,CAH6-PB,4.12e-15,XP_003725538.2,6.37e-19
LOC105327533,uncharacterized LOC105327533,Q9H808.2,0.54,F53A2.1.1,1.12e-05,AP-1gamma-PI,1.1,XP_030854007.1,7.4
LOC105327534,mediator of DNA damage checkpoint protein 1,Q9L7Q2.2,6.01e-07,F53A2.1.1,0.024,,,XP_011664728.2,0.003
LOC105327537,uncharacterized LOC105327537,Q8C419.2,1.89e-11,,,CG31195-PB,1.42e-82,XP_030831900.1,4.17e-18
LOC105327538,serine-enriched protein,O61366.3,7.19e-18,ZK858.4b.1,2.93e-05,gprs-PF,1.45e-19,XP_003725284.1,9.45e-18
LOC105327540,uracil phosphoribosyltransferase homolog,Q6NYU7.1,5.32e-108,C47B2.2.2,1.27e-71,kri-PC,6.25e-102,XP_030850437.1,1.35e-101
LOC105327541,"ATP-binding cassette sub-family B member 7, mitochondrial",O75027.2,0,Y74C10AR.3a.1,3.31e-175,ABCB7-PB,3.93e-180,XP_030851266.1,0
LOC105327545,prostaglandin E2 receptor EP4 subtype,P35408.1,1.64e-48,K09G1.4d.1,7.28e-08,SIFaR-PC,5.39e-06,XP_011672390.1,1.61e-31
LOC105327547,metalloproteinase inhibitor 3,O73746.1,1.26e-13,K07C11.5.2,0.002,Timp-PB,0.016,XP_030829466.1,2.45e-09
LOC105327548,thymidine phosphorylase,Q5FVR2.1,1.15e-135,K12H4.8.2,1.8,Toll-6-PC,7,XP_030843902.1,1.49e-151
LOC105327550,circularly permutated Ras protein 1,Q75J93.1,2.05e-58,ZC518.2.1,2.53e-05,Usp1-PD,2.6,XP_030843673.1,6.16e-93
LOC105327551,uncharacterized LOC105327551,P05433.1,1.46e-05,ZK622.1.1,0.019,drk-PD,0.49,XP_030840496.1,0.000219
LOC105327552,uncharacterized LOC105327552,Q61830.2,5.28e-08,T25E12.8.1,1.93e-07,CG11211-PA,0.000785,XP_030853040.1,1.21e-09
LOC105327565,uncharacterized LOC105327565,Q5HNN5.1,5.3,C05E11.7.1,1.7,CG9328-PA,7.4,XP_030835409.1,0.23
LOC105327569,organic cation transporter protein,Q9VCA2.1,3.94e-64,B0252.3b.1,5.95e-46,Orct-PB,3.84e-61,XP_030837698.1,1.33e-66
LOC105327574,eosinophil peroxidase,P49290.2,8.88e-120,K10B4.1.1,4.61e-113,CG10211-PB,1.6e-117,XP_030847888.1,7.93e-113
LOC105327576,uncharacterized LOC105327576,P38880.1,2.3,F10G8.6.1,1.4,ptc-PA,6.6,XP_030856348.1,0.18
LOC105327577,organic cation transporter-like protein,Q95R48.2,4.75e-66,B0252.3c.2,2.71e-47,Orct2-PB,5.04e-67,XP_030833206.1,8.87e-78
LOC105327579,bone morphogenetic protein 2-A,P25703.1,9.8e-31,T25F10.2.2,2.66e-26,dpp-PA,2.02e-20,XP_789990.1,1.6e-29
LOC105327581,histidine triad nucleotide-binding protein 3,Q2YDJ4.1,1.25e-45,C26F1.7a.2,2.33e-27,CG34015-PA,7.73e-37,XP_030838527.1,3.41e-45
LOC105327583,uncharacterized LOC105327583,Q5GH59.1,1.49e-07,F35A5.1.1,2.8,Kmn2-PA,1.1,XP_030839280.1,6.16e-13
LOC105327585,nuclear inhibitor of protein phosphatase 1,Q8R3G1.1,5.89e-122,B0511.7.1,3.46e-61,NiPp1-PA,1.3e-88,XP_030838631.1,1.68e-112
LOC105327587,transcription factor 24,Q7RTU0.3,2.25e-35,T05G5.2.1,2.01e-06,HLH54F-PA,7.45e-11,XP_780938.3,2.64e-37
LOC105327591,uncharacterized LOC105327591,B0CDM2.1,1.6,T23D8.4.3,2.7,CG42258-PC,0.74,XP_030835070.1,5.2
LOC105327588,organic cation transporter-like protein,Q95R48.2,4.16e-65,F52F12.1b.2,9.81e-46,Orct2-PB,3.19e-53,XP_030833206.1,1.05e-67
LOC105327592,orexin receptor type 1,P56718.1,5.4e-64,C50F7.1b.1,5.02e-32,SIFaR-PC,3.26e-26,XP_030838918.1,7.02e-54
LOC105327593,multiple epidermal growth factor-like domains protein 6,P22105.5,2e-42,Y64G10A.7a.1,5.14e-26,drpr-PF,8.12e-19,XP_030829199.1,8.8e-31
LOC105327594,uncharacterized LOC105327594,P29371.1,7.2e-06,Y54G2A.35a.1,3.82e-06,TrissinR-PE,0.000286,XP_003723319.2,2.6e-09
LOC105327595,uncharacterized LOC105327595,Q53EP0.2,0.065,T28F3.9.1,4.6,Cyp28d2-PA,4.8,XP_030832349.1,0.29
LOC105327596,amiloride-sensitive sodium channel subunit alpha,H1AFJ5.1,1.76e-42,T28B8.5.1,6.73e-42,Nach-PE,1.17e-10,XP_030832913.1,7.44e-61
LOC105327600,ran-binding protein 3,Q4R4T9.1,1.61e-47,R12C12.2.1,4.38e-16,RanBP3-PA,5.41e-29,XP_030852118.1,6.13e-54
LOC105327598,organic cation transporter protein,Q66J54.1,7.05e-63,F52F12.1a.1,8.67e-50,Orct2-PB,1.45e-59,XP_030833206.1,4.89e-71
LOC105327605,protein SSUH2 homolog,Q9Y2M2.1,1.01e-70,Y67A10A.6c.1,1.31e-30,Ino80-PA,5,XP_030828647.1,9.5e-106
LOC105327606,2-acylglycerol O-acyltransferase 2-A,Q2KHS5.1,1.58e-128,K07B1.4b.1,3.87e-102,CG1941-PD,2.71e-73,XP_030837553.1,1.54e-123
LOC105327608,uncharacterized LOC105327608,G0HV85.1,3.2,C27D11.1.1,3.3,Hr96-PA,3.3,XP_003724374.2,0.62
LOC105327615,MFS-type transporter SLC18B1,D3Z5L6.2,7.53e-74,F55A4.8b.1,5.55e-87,Sugb-PE,0.44,XP_030843946.1,2.01e-87
LOC105327616,"alanine--tRNA ligase, cytoplasmic",P50475.3,0,F28H1.3.4,0,AlaRS-PA,4.55e-179,XP_011683134.2,0
LOC105327618,regulator of G-protein signaling 9-binding protein,Q6XK22.1,3.49e-28,T06D10.1.2,0.36,rod-PA,5.8,XP_030833229.1,2.01e-42
LOC105327622,glycine-rich cell wall structural protein-like,Q9D529.1,0.36,,,,,XP_030843487.1,0.13
